Наименование,Продавец,Цена_raw,Рейтинг,Дата_первого_отзыва,Ссылка,Текст_отзыва,len_review
"Honor Смартфон HONOR X9d Ростест (EAC) 12/256 ГБ, светло-зеленый",Фирменный магазин H...,29 344 ₽,4.9,6 декабря 2025,https://www.ozon.ru/product/honor-smartfon-honor-x9d-rostest-eac-12-256-gb-svetlo-zelenyy-2894382520/,"Honor Смартфон HONOR X9d Ростест (EAC) 12/256 ГБ, светло-зеленый || За свою стоимость лучший смартфон!
Батарея держит прекрасно, даже с учетом активного просмотра видео, пользования приложений и игр.
Приятный, в руке лежит удобно. Хороший экран и звук. || телефон идеально 👌 спасибо продавцу рекомендую 👍 покупкой доволен жене понравился Озон тебе спасибо 🙏🫶",358
"Смартфон Pova 7 Pro Ростест (EAC) 16/1 ТБ, темно-серый, черный",Air Store,9 978 ₽,3.9,21 ноября 2025,https://www.ozon.ru/product/smartfon-pova-7-pro-rostest-eac-16-1-tb-temno-seryy-chernyy-3035957251/,"Смартфон Pova 7 Pro Ростест (EAC) 16/1 ТБ, темно-серый, черный || Пришло всё целое. Пока не могу сказать, по пользуемся дополню отзыв. || Пользователь предпочёл скрыть свои данные",179
"Восстановленный Смартфон CN 4/256 ГБ, синий",Annie Phone,6 678 ₽,4.5,26 ноября 2025,https://www.ozon.ru/product/vosstanovlennyy-smartfon-cn-4-256-gb-siniy-1865639981/,"Восстановленный Смартфон CN 4/256 ГБ, синий || Телефон соответствует заявленным характеристикам. Пришёл с заряженной батареей на 40%. Состояние нового. Зарядка работает. Надеюсь на длительную успешную работу сего девайса. Спасибо продавцу и ОЗОНУ! 
PS: Неделя эксплуатации показала: камера основная 13Мр, фронтальная 5Мр, низкая чувствительность модуля связи, неисправен шнур зарядки и сама зарядка... || привезли не тот товар вообще, привскрытии он включился и все. никогда не покупайте дешевые товары тем более смартфоны",522
"realme Смартфон realme Note 60 Ростест (EAC) 6/128 ГБ, черный",Ozon Россия,7 496 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/realme-smartfon-realme-note-60-rostest-eac-6-128-gb-chernyy-1773407609/,"realme Смартфон realme Note 60 Ростест (EAC) 6/128 ГБ, черный || Отличный телефон, коробка была слегка помята, неужели нельзя было в пупырку завернуть, хорошо что телефон не пострадал || Для работы, офиса отличный телефон.
макс, телеграм все хорошо работает.
за первую неделю телефон для базовых функций отличный, не подвисает.",327
"Poco Смартфон POCO M7 NFC лобальной версии Snapdragon 685 Экран 6.9"" Чёткая 50МП AI двойная камера 18W обратная зарядка 33W быстрая зарядка Батарея 7000 мАч EU 6/128 ГБ, синий",Phone Global Store,8 879 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/poco-smartfon-poco-m7-nfc-lobalnoy-versii-snapdragon-685-ekran-6-9-chetkaya-50mp-ai-dvoynaya-kamera-2686170403/,"Poco Смартфон POCO M7 NFC лобальной версии Snapdragon 685 Экран 6.9"" Чёткая 50МП AI двойная камера 18W обратная зарядка 33W быстрая зарядка Батарея 7000 мАч EU 6/128 ГБ, синий || все пришло очень хорошо упаковано. Телефон супер. Спасибо продавцу. || Всё отлично от упаковки, доставки и до работы самого смартфона. Эмоции положительные. Спасибо производителю, продавцу и Озону!",376
"Poco Смартфон X7 Ростест (EAC) 8/256 ГБ, серый металлик",Ozon Россия,19 999 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/poco-smartfon-x7-rostest-eac-8-256-gb-seryy-metallik-1842229131/,"Poco Смартфон X7 Ростест (EAC) 8/256 ГБ, серый металлик || при доставке произошла задержка на один день, телефон понравился, закруглённый экран, шустрый || Телефон хороший, работает быстро, заряд держит отлично, быстрая доставка дешевле чем во всяких DNS и так далее",266
"Смартфон CAMON40pro Смартфон, противоударный на Android 14 Ростест (EAC) 12/512 ГБ,большой памяти HD CN 12/512 ГБ, хаки, черный матовый",ноутбук,8 435 ₽,4.9,26 сентября 2025,https://www.ozon.ru/product/smartfon-camon40pro-smartfon-protivoudarnyy-na-android-14-rostest-eac-12-512-gb-bolshoy-pamyati-3071979856/,"Смартфон CAMON40pro Смартфон, противоударный на Android 14 Ростест (EAC) 12/512 ГБ,большой памяти HD CN 12/512 ГБ, хаки, черный матовый || Мобильный телефон - супер мобильный телефон. Привезли его моему СЫНУ. У него игра непростая. Все в норме. Сбоев не будет. Обновление сделано быстро. Экран отличный. Я заказал этот для своего второго СЫНА. Спасибо производителю за ответственную работу, качество, цена, и спасибо сотрудникам OZON за добросовестность и быструю ДОСТАВКУ. Все в порядке. Я... || Достоинства:симпатичный телефон, хорошо работает, не висит. зарядки при нормальном использовании хватает на 2 дня. очень довольна. надеюсь на долгую службу.",653
"Tecno Смартфон CAMON 40 Pro 5G Ростест (EAC) 12/256 ГБ, черный матовый",Фирменный магазин T...,22 508 ₽,4.9,3 декабря 2025,https://www.ozon.ru/product/tecno-smartfon-camon-40-pro-5g-rostest-eac-12-256-gb-chernyy-matovyy-2085892804/,"Tecno Смартфон CAMON 40 Pro 5G Ростест (EAC) 12/256 ГБ, черный матовый || Изделие уже почти неделя в эксплуатации. Я как простой обыватель скажу одно,гаджет интересный. Пок разбираюсь в настройках. После предыдущего не привычно. Данные из старого в этот перешли. Заряжается быстро. Зарядку держит. Если бесконечно не сидеть в приложениях и соцсетях. А так резвый. Меня всё устраивает. Дальше покажет эксплуатация. || супер!
телефоны Tecno, как всегда радуют своим функционалом и надёжностью.
покупаю уже 3-й раз. у меня и у всех близких только Tecno!",550
"Samsung Смартфон Galaxy A56 5G Global 8/256 ГБ, серый",Dubai Tax Free Bout...,25 784 ₽,5.0,15 ноября 2025,https://www.ozon.ru/product/samsung-smartfon-galaxy-a56-5g-global-8-256-gb-seryy-2011505117/,"Samsung Смартфон Galaxy A56 5G Global 8/256 ГБ, серый || Спасибо продавцу за телефон! Как и написал продавец (Здравствуйте. Вот модель: SM-A566B/DS VIETNAM, это глобальная версия. 
Смартфон SM-A566B/DS поддерживает две SIM-карты: nano-SIM и eSIM. Слот для карты памяти в устройстве отсутствует.) этот и пришёл. Телефон классный, оригинал, глобальная версия. Пломбы на месте, товар запакован хорошо. Доставка... || все поишло в целости и сохранности, без деффектов.
металл по периметру, прям что заказывала!
цвет ❤",513
"Xiaomi Смартфон Xiaomi Redmi A3x Ростест (EAC) 3/64 ГБ, зеленый",билайн - официальны...,5 983 ₽,4.9,4 декабря 2025,https://www.ozon.ru/product/xiaomi-smartfon-xiaomi-redmi-a3x-rostest-eac-3-64-gb-zelenyy-1628058094/,"Xiaomi Смартфон Xiaomi Redmi A3x Ростест (EAC) 3/64 ГБ, зеленый || хороший телефон, всё работает, СПАСИБО ОГРОМНОЕ, 
Товар в норме, товаром очень довольны. || немного задержали! а так все целое включил в раз работает! посмотрим как будет дальше?",245
"iQOO Смартфон Z10 Ростест (EAC) 12/512 ГБ, черный",Ozon Россия,23 304 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/iqoo-smartfon-z10-rostest-eac-12-512-gb-chernyy-2186959623/,"iQOO Смартфон Z10 Ростест (EAC) 12/512 ГБ, черный || Брала этот телефон из-за огромной батареи, и пока не подводит — 7300 мАч хватает на полтора-два дня активного использования. При этом он шустрый, процессор и 12 ГБ оперативки тянут все задачи без проблем. Экран яркий, сочный AMOLED на 120 Гц, на солнце все видно отлично. Камера для повседневных фоток тоже вполне хороша. В общем, рекомендую к покупке... || Подарили ребёнку на ДР. Шикарный вариант для не требовательных игр, использовании без долгой подзарядки. Заряжается очень быстро минут 30 от 10% до 100%. Камера фронтальная хорошая👍 За свои деньги, один из лучших вариантов на рынке. Да и процессор Snapdragon это также +.",682
"realme Смартфон GT7T Ростест (EAC) 12/512 ГБ, черный",Mzone,34 767 ₽,4.9,5 декабря 2025,https://www.ozon.ru/product/realme-smartfon-gt7t-rostest-eac-12-512-gb-chernyy-2181568844/,"realme Смартфон GT7T Ростест (EAC) 12/512 ГБ, черный || все хорошо, работает, упаковка целая, спасибо продавцу || Пользователь предпочёл скрыть свои данные",155
"Poco Смартфон POCO M7 PRO 5G Глобальная версия, 100% поддержка русского языка Global 12/512 ГБ, темно-зеленый",ЭлБазар,15 191 ₽,4.9,5 декабря 2025,https://www.ozon.ru/product/poco-smartfon-poco-m7-pro-5g-globalnaya-versiya-100-podderzhka-russkogo-yazyka-global-12-512-gb-3004516750/,"Poco Смартфон POCO M7 PRO 5G Глобальная версия, 100% поддержка русского языка Global 12/512 ГБ, темно-зеленый || Всё работает отлично Рекомендую. Переустановил со своего старого Poco х3. Кстати говорят что приходят у некоторых без зарядки у меня с пришол полный комплект. А это важно, по тому что другой зарядник и даже провод не запускаю супер заряду. || Упаковка супер!! Повредить при доставке очень сложно. Сам телефон понравился, зарядка и шнур в комплекте. Хороший чехол. Рекомендую!",488
"realme Смартфон realme 15 Pro 5G NFC Ростест (EAC) версия Snapdragon 7 Gen 4 50Мп OIS Тройная основная камера Емкая батарея 7000 мАч Быстрая зарядка 80Вт 6,8 дюйма 144Гц AMOLED Экран Лучшая водозащита IP69 Ростест (EAC) 12/512 ГБ, зеленый",Hizon,28 942 ₽,4.9,6 декабря 2025,https://www.ozon.ru/product/realme-smartfon-realme-15-pro-5g-nfc-rostest-eac-versiya-snapdragon-7-gen-4-50mp-ois-troynaya-2725091060/,"realme Смартфон realme 15 Pro 5G NFC Ростест (EAC) версия Snapdragon 7 Gen 4 50Мп OIS Тройная основная камера Емкая батарея 7000 мАч Быстрая зарядка 80Вт 6,8 дюйма 144Гц AMOLED Экран Лучшая водозащита IP69 Ростест (EAC) 12/512 ГБ, зеленый || отличный смартфон, имеет стабилизацию и класно снимает, покупал смотря видеообзор и не жалею что приобрёл такую бомбу || все ок, коробка целая, телефон в порядке",403
"Samsung Смартфон GALAXY A56 AWESOME GRAPHITE Global 12/256 ГБ, темно-серый",Холодильник.ру,42 507 ₽,5.0,3 декабря 2025,https://www.ozon.ru/product/samsung-smartfon-galaxy-a56-awesome-graphite-global-12-256-gb-temno-seryy-3027835095/,"Samsung Смартфон GALAXY A56 AWESOME GRAPHITE Global 12/256 ГБ, темно-серый || Пользователь предпочёл скрыть свои данные || Пользователь предпочёл скрыть свои данные",164
"SmartX Смартфон Ростест (EAC) 4/64 ГБ, черный матовый",Seferyan61,4 290 ₽,4.1,1 декабря 2025,https://www.ozon.ru/product/smartx-smartfon-rostest-eac-4-64-gb-chernyy-matovyy-3072543180/,"SmartX Смартфон Ростест (EAC) 4/64 ГБ, черный матовый || ну пока все нормально,установила то,что мне нужно именно на этом телефоне,он предназначен только для использования дома по вай-фай.Пока устанавливала три приложения чуть нагрелся. || хорошо упакован, все целое. Очень приятно когда все ожидания приходят в реальности и действительности по факту.",351
"Samsung Смартфон Galaxy S25 Ultra 5G Ростест (EAC) 12/256 ГБ, черный",Samsung - фирменный...,103 738 ₽,4.9,4 декабря 2025,https://www.ozon.ru/product/samsung-smartfon-galaxy-s25-ultra-5g-rostest-eac-12-256-gb-chernyy-1974015554/,"Samsung Смартфон Galaxy S25 Ultra 5G Ростест (EAC) 12/256 ГБ, черный || Пользователь предпочёл скрыть свои данные || Отличный смартфон, очень долго выбирала, решалась и наконец, заказала, очень переживала, что это мой первый смартфон, который купила на маркетплейсе. Всё пришло хорошо упакованное, пломбы на месте. Телефон очень шустрый, камера отличная, много классных фишек, я довольна на 1000%. Перенос данных с samsung на samsung достаточно быстрый и удобный. В комплекте...",478
"Xiaomi Смартфон Xiaomi Redmi Note 14S Ростест (EAC) 12/512 ГБ, черный",SmartPhone,26 849 ₽,4.9,2 ноября 2025,https://www.ozon.ru/product/xiaomi-smartfon-xiaomi-redmi-note-14s-rostest-eac-12-512-gb-chernyy-2025303240/,"Xiaomi Смартфон Xiaomi Redmi Note 14S Ростест (EAC) 12/512 ГБ, черный || телефон супер, всё понравилось, пришёл в течении двух дней,работает идеально. || Всего недел. Пока изучаю. Очень быстро забивается оперативка. Не нравится, что телефон живёт своей жизнью. ИИ рулит., сбивает сам все настройки, с пррдылущего- 10 модели про переклптровпдосл кривовато . А так телефон вроде хорошийрабочиц. Посмотрим, не будет ли судить дальше. Камеру пока не использовала как положено, некогда. Отладивала приложения....",507
"Samsung Смартфон Galaxy Z Fold 6 (РСТ) 12/1 ТБ, серый",Ozon Россия,99 990 ₽,4.8,29 ноября 2025,https://www.ozon.ru/product/samsung-smartfon-galaxy-z-fold-6-rst-12-1-tb-seryy-1618824095/,"Samsung Смартфон Galaxy Z Fold 6 (РСТ) 12/1 ТБ, серый || Вот уже несколько дней я пользуюсь этим телефоном. Перешел на Фолд 6 с более старенького Note 9. Какого то вау эффекта я не получил. Но чем дольше пользуюсь, тем больше понимаю насколько же это удобный смартфон. По характеристикам если кто то захочет, то в интернете информации предостаточно. Хотелось бы от себя добавить по поводу чехлов. Прикрепил фото... || Коробка пришла запечатанная,внутрянка из картона,а не пластика.Сам смартфон оригинальный.Код для кавказских стран.Цена по которой купил,просто огонь!Купил в подарок,по этому распаковал,включил,проверил и снова скинул до заводских.Описанию соответствует.",671
"Poco Смартфон POCO X7 Смартфон NFC Dimensity-7300 Ультра 6,67-дюймовый изогнутый AMOLED-дисплей с разрешением кристаллитов 1,5K Flow IP68 Global 8/256 ГБ, серебристый",МобайлПлюс,16 301 ₽,4.9,27 октября 2025,https://www.ozon.ru/product/poco-smartfon-poco-x7-smartfon-nfc-dimensity-7300-ultra-6-67-dyuymovyy-izognutyy-amoled-displey-1832653023/,"Poco Смартфон POCO X7 Смартфон NFC Dimensity-7300 Ультра 6,67-дюймовый изогнутый AMOLED-дисплей с разрешением кристаллитов 1,5K Flow IP68 Global 8/256 ГБ, серебристый || пока всё супер,пришёл в заводской упаковке плюс воздушная упаковка хоть пинай не чё не будет,посмотрим как дальше будет себя вести. Шёл долго но всё вовремя по срокам. советую. || Пришло на день раньше. Все хорошо упакован. Модель та которую заказывали. Чехол в подарок.",440
"Xiaomi Смартфон Xiaomi Redmi Note 14S MediaTek Helio G99-Ultra Дисплей для ухода за глазами с частотой 120 Гц емкостью 5000 мАч Global 8/256 ГБ, фиолетовый",Phone Global Store,13 215 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/xiaomi-smartfon-xiaomi-redmi-note-14s-mediatek-helio-g99-ultra-displey-dlya-uhoda-za-glazami-1939858528/,"Xiaomi Смартфон Xiaomi Redmi Note 14S MediaTek Helio G99-Ultra Дисплей для ухода за глазами с частотой 120 Гц емкостью 5000 мАч Global 8/256 ГБ, фиолетовый || телефон работает, обновился, доставка как положено, мне нравится, детям не даю играть, им экран и звук нравится || Всё работает, упакован хорошо. С доставкой, задержка",326
"Tecno Смартфон SPARK 40 Pro Ростест (EAC) 8/128 ГБ, черный",Ozon Россия,14 132 ₽,4.9,6 декабря 2025,https://www.ozon.ru/product/tecno-smartfon-spark-40-pro-rostest-eac-8-128-gb-chernyy-2656324917/,"Tecno Смартфон SPARK 40 Pro Ростест (EAC) 8/128 ГБ, черный || Пользователь предпочёл скрыть свои данные || Телефон очень понравился, хорошая камера, большой объем памяти, тонкий и красивый в комплекте чехол и пленка на на экран.",228
Восстановленный Apple Смартфон iPhone 7 Plus 128 ГБ,big sale,4 727 ₽,4.2,28 ноября 2025,https://www.ozon.ru/product/vosstanovlennyy-apple-smartfon-iphone-7-plus-128-gb-2595622571/,"Восстановленный Apple Смартфон iPhone 7 Plus 128 ГБ || Пользователь предпочёл скрыть свои данные || Вообще телефон прикольный,были проблемы с входом на аккаунт но там всего надо поменять кое что ,сам по себе он очень красивый и мне достался красного цвета,всё совпало ,немного греется в обычных задачах но это вполне нормально для телефона которому практически 10 лет ,что расстроило это очень долгая доставка ,ну ещё и чехол д***** полное но это пофиг...",455
"Xiaomi Смартфон Redmi A5 3/64 ГБ, голубой",Ozon Россия,6 490 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/xiaomi-smartfon-redmi-a5-3-64-gb-goluboy-1998926950/,"Xiaomi Смартфон Redmi A5 3/64 ГБ, голубой || очень хороший для своей цены работает классно || Товар в заводской плёнке, не стала распаковывать, телефон на 🎁",156
"Poco Смартфон POCO M7 NFC лобальной версии Snapdragon 685 Экран 6.9"" Чёткая 50МП AI двойная камера 18W обратная зарядка 33W быстрая зарядка Батарея 7000 мАч EU 8/256 ГБ, синий",Phone Global Store,32 359 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/poco-smartfon-poco-m7-nfc-lobalnoy-versii-snapdragon-685-ekran-6-9-chetkaya-50mp-ai-dvoynaya-kamera-2686171009/,"Poco Смартфон POCO M7 NFC лобальной версии Snapdragon 685 Экран 6.9"" Чёткая 50МП AI двойная камера 18W обратная зарядка 33W быстрая зарядка Батарея 7000 мАч EU 8/256 ГБ, синий || все пришло очень хорошо упаковано. Телефон супер. Спасибо продавцу. || Всё отлично от упаковки, доставки и до работы самого смартфона. Эмоции положительные. Спасибо производителю, продавцу и Озону!",376
"Poco Смартфон POCO F6 Pro Глобальная версия смартфона Snapdragon 8 Gen 2 с гиперзарядкой, мощностью 120 Вт, тройной камерой 50 Мп разрешением WQHD + AMOLED-дисплеем с потоковой передачей 120 Гц EU 12/512 ГБ, черный",Phone Global Store,26 220 ₽,4.9 ,21 мая 2025,https://www.ozon.ru/product/poco-smartfon-poco-f6-pro-globalnaya-versiya-smartfona-snapdragon-8-gen-2-s-1825104414/,"Poco Смартфон POCO F6 Pro Глобальная версия смартфона Snapdragon 8 Gen 2 с гиперзарядкой, мощностью 120 Вт, тройной камерой 50 Мп разрешением WQHD + AMOLED-дисплеем с потоковой передачей 120 Гц EU 12/512 ГБ, черный || Телефон очень понравился 👍 покупала за 28, сейчас 26 500, цена вообще огонь 🔥 за такие деньги думаю похожих вариантов нет. Камеру ещё особо не тестила, но фото хорошие. Перешла с redmi 14 pro plus, где камера типа 200 пик. фото не хуже. видео лучше. Я очень довольна телефоном, советую к покупке. Телефон пришел за 17 дней, это отлично 🔥💥 || Сам смартфон отличный за эти деньги, тем более с хранилищем в 1Tb.
Продавец отправил товар очень быстро, но сама доставка заняла почти 1 месяц, посылка 2 недели висела на таможне.",739
"Poco Смартфон X7 Ростест (EAC) 8/256 ГБ, зеленый",Ozon Россия,19 999 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/poco-smartfon-x7-rostest-eac-8-256-gb-zelenyy-1842229117/,"Poco Смартфон X7 Ростест (EAC) 8/256 ГБ, зеленый || при доставке произошла задержка на один день, телефон понравился, закруглённый экран, шустрый || Телефон хороший, работает быстро, заряд держит отлично, быстрая доставка дешевле чем во всяких DNS и так далее",259
"Xiaomi Смартфон Redmi 15 Ростест (EAC) 8/256 ГБ, черный",Ozon Россия,14 952 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/xiaomi-smartfon-redmi-15-rostest-eac-8-256-gb-chernyy-2811310229/,"Xiaomi Смартфон Redmi 15 Ростест (EAC) 8/256 ГБ, черный || Неплохой смартфон по вполне бюджетной цене, думаю потянет приложения в ближайшие пару лет. || Хороший телефон, в комплекте: чехол, зарядное устройство с кабелем.",220
"Cubot Смартфон Cubot King Kong AX 12/256 ГБ, черный",Cubot Flagship Store,12 314 ₽,4.8,7 декабря 2025,https://www.ozon.ru/product/cubot-smartfon-cubot-king-kong-ax-12-256-gb-chernyy-1479188657/,"Cubot Смартфон Cubot King Kong AX 12/256 ГБ, черный || Работает, в море ещё не бросал, надеюсь выживет || Не плохой телефон, но звук не очень громкий. Доставка быстрая, заводская упаковка не нарушена. Удобен в руке. Пишу после нескольких дней пользования. И пока все устраивает. Спасибо. Рекомендую к покупке.",309
"Poco Смартфон POCO C71 3/64 ГБ, голубой",Xiaomi Официальный ...,5 503 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/poco-smartfon-poco-c71-3-64-gb-goluboy-2283562071/,"Купила POCO C71 для ребёнка — искала недорогой, но нормальный смартфон, чтобы не тормозил, держал заряд и не развалился за месяц. По цене около 5 тысяч рублей — это, конечно, не iPhone, но за такую сумму — очень и очень достойно.

Что понравилось:
Быстродействие — удивило. Ребёнок играет в «Майнкрафт» — всё плавно, без лагов.
Экран — большой, чёткий... || Отличный телефон, брали ребенку, остались очень довольны. В комплекте зарядное устройство и чехол, что очень порадовало. Понятно что телефон не дорогой и каких-то особенностей от него ждать не стоит, но для своих денег он очень шустрый, качество изображения и производительность на высоте👍🏻 в общем рекомендую 👍🏻 || отличный за свои деньги, удобно держать в руке, брали для работы, необходимый минимум есть, кое-что доустановить без проблем. цвет немного серебро, кому важно.",833
"Poco Смартфон POCO F6 5G смартфона Глобальная версия Snapdragon8s Gen 3 NFC 120Гц Flow AMOLED 90Вт с турбонаддувом Батарея емкостью 5000 мАч EU 12/512 ГБ, черный",Dragon-X Store,20 336 ₽,4.9,24 июля 2025,https://www.ozon.ru/product/poco-smartfon-poco-f6-5g-smartfona-globalnaya-versiya-snapdragon8s-gen-3-nfc-120gts-flow-amoled-1763909529/,"Poco Смартфон POCO F6 5G смартфона Глобальная версия Snapdragon8s Gen 3 NFC 120Гц Flow AMOLED 90Вт с турбонаддувом Батарея емкостью 5000 мАч EU 12/512 ГБ, черный || Телефон за данную стоимость просто космический 😳🪐
Начнем с того что за такую ценну вам подготовили 12/512 Гб, что не может не радовать, спасибо за это✊⚡
Насчет съёмки видео 4к/60фпс, они и впрямь есть и они очень существенные, я вам за это очень благодарен, а если говорить про фотки, они относительно зачетные, но я буду использовать данный аппарат... || Телефон отличный, игрушки играть можно. Батареи хватает (если требовательная игра с ультра графикой то улетает - это нормально). 
(мне лень писать отзыв)",674
"Honor Смартфон X9c Smart 8/256 ГБ, зеленый",МегаФон,25 316 ₽,4.8,4 октября 2025,https://www.ozon.ru/product/honor-smartfon-x9c-smart-8-256-gb-zelenyy-1851779205/,"Honor Смартфон X9c Smart 8/256 ГБ, зеленый || Жена счастлива!!! Уже неделю!!! Надеюсь понимаете о чём я??!!!😀 || Хороший телефон, просто камера большая, на любителя внешнего вида такого.",186
"Apple Смартфон iPhone 16 (Новый, Не активирован, FaceTime работает, eSIM поддерживается) SIM+eSIM Global 8/128 ГБ, черный",Дубай Молл,53 435 ₽,5.0,7 декабря 2025,https://www.ozon.ru/product/apple-smartfon-iphone-16-novyy-ne-aktivirovan-facetime-rabotaet-esim-podderzhivaetsya-sim-2167673902/,"Apple Смартфон iPhone 16 (Новый, Не активирован, FaceTime работает, eSIM поддерживается) SIM+eSIM Global 8/128 ГБ, черный || Покупкой доволен. Чуть дешевле вышло, чем в магазинах с учетом пошлины || Простой, логично качественный iphone, по хорошей цене",252
"Xiaomi Смартфон POCO M6 Ростест (EAC) 6/128 ГБ, черный",Xiaomi Официальный ...,9 534 ₽,4.8,21 сентября 2025,https://www.ozon.ru/product/xiaomi-smartfon-poco-m6-rostest-eac-6-128-gb-chernyy-2285774491/,"Xiaomi Смартфон POCO M6 Ростест (EAC) 6/128 ГБ, черный || За такую цену, отличный телефон. Много предустановленных абсолютно не нужных программ, которые ещё и удалить нельзя. А так, порадовало, что телефон пришел с уже наклееной плёнкой и плюсом был прозрачный чехол с заглушкой в месте подключения зарядки для защиты от всякого мусора. || Хороший телефон. Комплектация и характеристики соответствуют описанию в карточке товара! Спасибо! Продавцу можно доверять!",462
Название не найдено,Не найден,44 990 ₽,4.9 ,29 ноября 2025,https://www.ozon.ru/product/poco-smartfon-f7-rostest-eac-12-512-gb-seryy-metallik-2451716536/,"Poco Смартфон F7 Ростест (EAC) 12/512 ГБ, серый металлик || Телефон пришёл быстро) Летает. фото огонь. есть чехол и бочек) || громкий, фото норм, динамик один, на старом сяоми два было, пока нравится, сразу идёт с защитной плёнкой",230
"Redmi Смартфон Redmi Note 14S Global 12/512 ГБ, черно-серый",Xiaomi Authorized S...,16 848 ₽,4.9 ,26 июня 2025,https://www.ozon.ru/product/redmi-smartfon-redmi-note-14s-global-12-512-gb-cherno-seryy-2081955580/,"Redmi Смартфон Redmi Note 14S Global 12/512 ГБ, черно-серый || пришло хорошо упаковано, все закрыто заводская упаковка целая, срок доставки почти совпал с заявленным (задержалось на 4 дня) || Все хорошо, шел долго, успел подешеветь.",232
"Meizu Смартфон Note 21 Pro Ростест (EAC) 8/256 ГБ, голубой",Ozon Россия,7 999 ₽,4.8,7 декабря 2025,https://www.ozon.ru/product/meizu-smartfon-note-21-pro-rostest-eac-8-256-gb-goluboy-2769801737/,"Meizu Смартфон Note 21 Pro Ростест (EAC) 8/256 ГБ, голубой || Довольно не плохо для телефона за эту цену. Хороший аппарат как второй телефон для работы или ребенку. || не много задержали и сын остался без подарка на день рождения (заказ от 3 числа пришел 6 хотя было написанно завтра )от меня ну ладно пришел целым уже хорошо сын доволен",337
"Poco Смартфон POCO F6 5G смартфона Глобальная версия Snapdragon8s Gen 3 NFC 120Гц Flow AMOLED 90Вт с турбонаддувом Батарея емкостью 5000 мАч EU 12/512 ГБ, черный",МобайлПлюс,20 514 ₽,4.9 ,5 декабря 2025,https://www.ozon.ru/product/poco-smartfon-poco-f6-5g-smartfona-globalnaya-versiya-snapdragon8s-gen-3-nfc-120gts-flow-amoled-1973394665/,"Poco Смартфон POCO F6 5G смартфона Глобальная версия Snapdragon8s Gen 3 NFC 120Гц Flow AMOLED 90Вт с турбонаддувом Батарея емкостью 5000 мАч EU 12/512 ГБ, черный || Очень хороший телефон. За свой небольшой ценник он предлагает неплохую камеру с оптической стабилизацией и съёмкой 4к 60 к/с, также достаточно мощный чипсет, snap 8s gen3 и очень быстрая память ufs 4.0 тянет почти все игры на максималках, реклама в системе отключается очень просто и после совсем отсутствует, в общем отличный аппарат. В антуту кстати... || Хороший телефон покупаем 2 уже .Год назад жене купили сейчас знакомой купили работает на 5.",614
"Xiaomi Смартфон Redmi 15C 8/256 ГБ, синий, голубой",NATURAL TECHNIQUE S...,9 099 ₽,4.9,6 декабря 2025,https://www.ozon.ru/product/xiaomi-smartfon-redmi-15c-8-256-gb-siniy-goluboy-2985085999/,"Xiaomi Смартфон Redmi 15C 8/256 ГБ, синий, голубой || Телефон очень хороший, пришёл раньше срока, всё соответствует описанию, я довольна покупкой. || отличный телефон спасибо всё пришло хорошо упаковано,по работе всё устраивает",227
"Honor Смартфон HONOR X9d Ростест (EAC) 8/256 ГБ, черный",Фирменный магазин H...,26 677 ₽,4.9,6 декабря 2025,https://www.ozon.ru/product/honor-smartfon-honor-x9d-rostest-eac-8-256-gb-chernyy-2894382452/,"Honor Смартфон HONOR X9d Ростест (EAC) 8/256 ГБ, черный || За свою стоимость лучший смартфон!
Батарея держит прекрасно, даже с учетом активного просмотра видео, пользования приложений и игр.
Приятный, в руке лежит удобно. Хороший экран и звук. || телефон идеально 👌 спасибо продавцу рекомендую 👍 покупкой доволен жене понравился Озон тебе спасибо 🙏🫶",349
"Samsung Смартфон Samsung Galaxy A17 - НОВЫЙ Global 6/128 ГБ, серый",Dubai Tax Free Bout...,11 992 ₽,4.9,27 ноября 2025,https://www.ozon.ru/product/samsung-smartfon-samsung-galaxy-a17-novyy-global-6-128-gb-seryy-2980079969/,"Samsung Смартфон Samsung Galaxy A17 - НОВЫЙ Global 6/128 ГБ, серый || Телефон приобретен для ребенка 10 лет, и я сторонник одекватной оценки подобных смартфонов по соотношению цена -качество. Телефон пришёл вовремя, аккуратно упакован, по доставке никаких нареканий нет. Хотя было тревожно заказывать из зарубежа по 100% предоплате. У меня никогда не было андроида, поэтому мне очень непривычно в нем ориентироваться, но... || Телефон пришёл в срок, в добротной упаковке с арабскими буквами, наверное правда из ОАЭ и с пометкой на русском ""упаковано с видиофиксацией"" . В целом нормально рекомендую продавца.",608
